"SYMBOL ","COMPANY ","PURPOSE ","DETAILS ","DATE "
"KECL","Kirloskar Electric Company Limited","Financial Results/Other business matters","To consider and approve the Ind AS Compliant unaudited (standalone & consolidated) financial results for the quarter and nine months ended December 31, 2023 and other business matters","12-Feb-2024"
"KHADIM","Khadim India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"KHAICHEM","Khaitan Chemicals & Fertilizers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"KHAITANLTD","Khaitan (India) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"KIRIINDUS","Kiri Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"KIRLOSENG","Kirloskar Oil Engines Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended December 31, 2023, dividend and other business matters","12-Feb-2024"
"KOTARISUG","Kothari Sugars And Chemicals Limited","Financial Results/Dividend","To consider and approve the Unaudited Financial Results of the Company for the quarter and year to date ended 31.12.2023 and also to consider declaration of Interim Dividend, if any, for the financial year 2023 - 2024.","12-Feb-2024"
"KOTHARIPRO","Kothari Products Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"KREBSBIO","Krebs Biochemicals and Industries Limited","Financial Results","To consider and approve the Unaudited Financial Results of the 3rd quarter and 9 months ended December 31, 2023 of the Financial year 2023-24.","12-Feb-2024"
"KRIDHANINF","Kridhan Infra Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"KRISHANA","Krishana Phoschem Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"KRSNAA","Krsnaa Diagnostics Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"LAGNAM","Lagnam Spintex Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"LAMBODHARA","Lambodhara Textiles Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"LATTEYS","Latteys Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"LAXMIMACH","Lakshmi Machine Works Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"LOKESHMACH","Lokesh Machines Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"LPDC","Landmark Property Development Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"LYPSAGEMS","Lypsa Gems & Jewellery Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MAHASTEEL","Mahamaya Steel Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"MALLCOM","Mallcom (India) Limited","Financial Results","To inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended December 2023","12-Feb-2024"
"MALUPAPER","Malu Paper Mills Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MANAKALUCO","Manaksia Aluminium Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MANAKSIA","Manaksia Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MANAKSTEEL","Manaksia Steels Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MANALIPETC","Manali Petrochemicals Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MANUGRAPH","Manugraph India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"MAZDA","Mazda Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MAZDOCK","Mazagon Dock Shipbuilders Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MBAPL","Madhya Bharat Agro Products Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"MEDICAMEQ","Medicamen Biotech Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MEDICO","Medico Remedies Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MODIRUBBER","Modi Rubber Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MODTHREAD","Modern Threads (India) Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MOHITIND","Mohit Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MOTHERSON","Samvardhana Motherson International Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023.","12-Feb-2024"
