"SYMBOL ","COMPANY ","PURPOSE ","DETAILS ","DATE "
"URAVI","Uravi T and Wedge Lamps Limited","Financial Results","URAVI T AND WEDGE LAMPS LIMITED has informed the Exchange about Board Meeting to be held on 12-February-2024 to inter-alia consider and approve the Unaudited Financial results along with Limited Review Report of the Company for the Quarter ended December 31,  2023.","12-Feb-2024"
"VICEROY","Viceroy Hotels Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"VIJIFIN","Viji Finance Limited","Fund Raising/Other business matters","To consider Fund Raising and other business matters","12-Feb-2024"
"VINEETLAB","Vineet Laboratories Limited","Financial Results","Intimation of the date of Board Meeting under Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","12-Feb-2024"
"VISAKAIND","Visaka Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"VISHNU","Vishnu Chemicals Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"VISHWARAJ","Vishwaraj Sugar Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"WEL","Wonder Electricals Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"WEWIN","WE WIN LIMITED","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"WIPL","The Western India Plywoods Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"ZEEMEDIA","Zee Media Corporation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"AAKASH","Aakash Exploration Services Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"ACCURACY","Accuracy Shipping Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"ADL","Archidply Decor Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"AGARIND","Agarwal Industrial Corporation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"AHL","Abans Holdings Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"AHLEAST","Asian Hotels (East) Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"AHLUCONT","Ahluwalia Contracts (India) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"AIRAN","Airan Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"ALPA","Alpa Laboratories Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"ALPHAGEO","Alphageo (India) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"APOLLOPIPE","Apollo Pipes Limited","Other business matters","To consider other business matters i.e. a proposal for strategic investment in Kisan Mouldings Limited, a BSE Listed Company upto an extent of &#8377;125 crore, pursuant to a proposal for fund raising options received from the said company for the purpose of repayment of bank loans and other dues.","13-Feb-2024"
"ARROWGREEN","Arrow Greentech Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"ARTNIRMAN","Art Nirman Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"ARVINDFASN","Arvind Fashions Limited","Financial Results","To consider and approve the unaudited standalone and consolidated financial results for the period ended December 31, 2023","13-Feb-2024"
"ASMS","Bartronics India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"ATAM","Atam Valves Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"AWHCL","Antony Waste Handling Cell Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"BBTC","Bombay Burmah Trading Corporation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"BFINVEST","BF Investment Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"BFUTILITIE","BF Utilities Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"BHEL","Bharat Heavy Electricals Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"BKMINDST","Bkm Industries Limited","Financial Results","To consider and approve the Un-Audited financial results for the quarter and nine months ended December 31, 2023","13-Feb-2024"
"BLAL","BEML Land Assets Limited","Financial Results","To consider and approve the financial results for the period ended September 30, 2023","13-Feb-2024"
"BLAL","BEML Land Assets Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"BLUECHIP","Blue Chip India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"BODALCHEM","Bodal Chemicals Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"BOROLTD","Borosil Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"BOSCHLTD","Bosch Limited","Dividend","To consider the proposal of Interim dividend for F.Y 2023-2024","13-Feb-2024"
"BOSCHLTD","Bosch Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"BPL","BPL Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"CAPTRUST","Capital Trust Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"CAREERP","Career Point Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","13-Feb-2024"
"CCHHL","Country Club Hospitality & Holidays Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"CENTEXT","Century Extrusions Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"CINELINE","Cineline India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"COFFEEDAY","Coffee Day Enterprises Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"COMSYN","Commercial Syn Bags Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"COSMOFIRST","COSMO FIRST LIMITED","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"COUNCODOS","Country Condo's Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"CREATIVE","Creative Newtech Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"CREATIVEYE","Creative Eye Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"CURATECH","Cura Technologies Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"DANGEE","Dangee Dums Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"DCM","DCM  Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"DECCANCE","Deccan Cements Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"DEEPAKNTR","Deepak Nitrite Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"DELPHIFX","DELPHI WORLD MONEY LIMITED","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"DIGIDRIVE","Digidrive Distributors Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"DONEAR","Donear Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"DPWIRES","D P Wires Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"DREDGECORP","Dredging Corporation of India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"DYNAMATECH","Dynamatic Technologies Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","13-Feb-2024"
"EICHERMOT","Eicher Motors Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"EIFFL","Euro India Fresh Foods Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"ENIL","Entertainment Network (India) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"EQUIPPP","Equippp Social Impact Technologies Limited","Financial Results/Other business matters","To consider and approve the Quarterly Unaudited financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"ERIS","Eris Lifesciences Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"FMGOETZE","Federal-Mogul Goetze (India) Limited.","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"FOCUS","Focus Lighting and Fixtures Limited","Financial Results/Other business matters","Postponement and Re-Schedule of Board Meeting under Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 to consider and approve the financial results for the period ended December 31, 2023 and other business matters which is re-scheduled to Tuesday, 13th February, 2024.","13-Feb-2024"
"GBGLOBAL","GB Global Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"GENUSPOWER","Genus Power Infrastructures Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"GLOBALVECT","Global Vectra Helicorp Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"GOCLCORP","GOCL Corporation Limited","Financial Results","Please take notice that a meeting of the Board of Directors of the Company is scheduled to be held on Tuesday, 13th February 2024, inter alia, to consider and approve the un-audited financial results of the Company for the quarter ended 31st December, 2023.","13-Feb-2024"
"GOLDTECH","AION-TECH SOLUTIONS LIMITED","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"GRSE","Garden Reach Shipbuilders & Engineers Limited","Financial Results/Dividend","Intimation of Date of Board Meeting to, inter alia, consider and approve. UnauditedFinancial Results for the quarter and nine months ended 31st December, 2023 and todeclare Interim Dividend for the financial year 2023-24, if any.","13-Feb-2024"
"GUJGASLTD","Gujarat Gas Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"HAVISHA","Sri Havisha Hospitality and Infrastructure Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"HCL-INSYS","HCL Infosystems Limited","Financial Results","To consider and approve the unaudited financial results for the period ended December 31, 2023","13-Feb-2024"
"HDIL","Housing Development and Infrastructure Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"HINDALCO","Hindalco Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"HINDCOMPOS","Hindustan Composites Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"HINDCOPPER","Hindustan Copper Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"HINDOILEXP","Hindustan Oil Exploration Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"HITECHGEAR","The Hi-Tech Gears Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"HLEGLAS","HLE Glascoat Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"IBREALEST","Indiabulls Real Estate Limited","Financial Results","Pursuant to Regulation 29 and other applicable provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform that a meeting of the Board of Directors of Indiabulls Real Estate Limited ( the Company ) is scheduled to be held on Tuesday, February 13, 2024 to consider and approve, inter-alia, the unaudited financial results of the Company for the quarter and nine months ended December 31, 2023.We further wish to inform that in terms of SEBI (Prohibition of Insider Trading) Regulations, 2015 and Code of Conduct for Prevention of Insider Trading of the Company, the Trading Window for dealing in securities of the Company which had been closed earlier, shall remain closed till February 16, 2024.Please take the above information on record.","13-Feb-2024"
"IFBAGRO","IFB Agro Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"IGPL","IG Petrochemicals Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"IITL","Industrial Investment Trust Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"IMPEXFERRO","Impex Ferro Tech Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"INDLMETER","IMP Powers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"INDNIPPON","India Nippon Electricals Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and declaration of interim dividend","13-Feb-2024"
"INDOBORAX","Indo Borax & Chemicals Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"INDOTECH","Indo Tech Transformers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"INDSWFTLTD","Ind-Swift Limited","Financial Results","INDSWFTLTD : 14-Feb-2024 :  The Company has informed the Exchange that a Board meeting to be held on February 13, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will now be held on February 14, 2024,  To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"INDSWFTLTD","Ind-Swift Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"INNOVACAP","Innova Captab Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"INOXINDIA","INOX India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"IRCTC","Indian Railway Catering And Tourism Corporation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"ISFT","Intrasoft Technologies Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"ISGEC","Isgec Heavy Engineering Limited","Financial Results","To consider and approve the Standalone and Consolidated Unaudited Financial Results for the quarter and nine months ended December 31, 2023","13-Feb-2024"
"ITI","ITI Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"IVC","IL&FS Investment Managers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"IZMO","IZMO Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"JINDWORLD","Jindal Worldwide Limited","Financial Results","To consider and approve the Unaudited Financial Results (Standalone and Consolidated) of the Company for the quarter and nine months ended on December 31, 2023 along with Limited Review Report thereon and to transact other businesses as per agenda being circulated.","13-Feb-2024"
"JYOTISTRUC","Jyoti Structures Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"KAKATCEM","Kakatiya Cement Sugar & Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"KALYANI","Kalyani Commercials Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"KALYANIFRG","Kalyani Forge Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"KAUSHALYA","Kaushalya Infrastructure Development Corporation Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"KELLTONTEC","Kellton Tech Solutions Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"KICL","Kalyani Investment Company Limited","Financial Results","Pursuant to the Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that the meeting of the Board of Directors of the Company is scheduled to be held on Tuesday, February 13, 2024, inter alia, to consider and approve the Unaudited Financial Results (Standalone & Consolidated) for the quarter and nine months ended December 31, 2023.The Trading Window for dealing in securities of the Company, for all Designated and Connected Persons including their immediate relatives, which was closed from January 1, 2024, shall be re-opened from Friday, February 16, 2024.","13-Feb-2024"
"KIOCL","KIOCL Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"KRBL","KRBL Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"LAOPALA","La Opala RG Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"LASA","Lasa Supergenerics Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"LAXMICOT","Laxmi Cotspin Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"LCCINFOTEC","LCC Infotech Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"LIBAS","Libas Consumer Products Limited","Financial Results/Other business matters","Pursuant to Regulation 29 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( Listing Regulations ), this is to inform you that a meeting of the Board of Directors of the company is scheduled to be held on Tuesday, February 13, 2024 inter alia to:1. Approve unaudited financial results for the quarter and nine months ended December 31, 2023;2. Change in designation of Mrs. Pooja Hindia from Independent Director to Company Secretary and Compliance Officer;3. Reconstitution of the Nomination and Remuneration Committee;4. any other item with the permission of Chairman.","13-Feb-2024"
"LIKHITHA","Likhitha Infrastructure Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"LOYALTEX","Loyal Textile Mills Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"LUMAXTECH","Lumax Auto Technologies Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"MAGADSUGAR","Magadh Sugar & Energy Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"MANGALAM","Mangalam Drugs And Organics Limited","Financial Results","To consider and approve the unaudited standalone and consolidated financial results for the period ended December 31, 2023","13-Feb-2024"
"MARKSANS","Marksans Pharma Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"MBECL","Mcnally Bharat Engineering Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"MCLEODRUSS","Mcleod Russel India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"MEDIASSIST","Medi Assist Healthcare Services Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"MEGASTAR","Megastar Foods Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"MODISONLTD","MODISON LIMITED","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","13-Feb-2024"
"MTARTECH","Mtar Technologies Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"MTNL","Mahanagar Telephone Nigam Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"NAGREEKEXP","Nagreeka Exports Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"NATIONALUM","National Aluminium Company Limited","Dividend","To consider 2nd Interim Dividend for FY 2023-24.","13-Feb-2024"
"NATIONALUM","National Aluminium Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"NAUKRI","Info Edge (India) Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"NBCC","NBCC (India) Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"NDGL","Naga Dhunseri Group Limited","Financial Results","To consider and approve the Unaudited Financial Results (both standalone & consolidated) for the period ended December 31, 2023","13-Feb-2024"
"NESCO","Nesco Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"NHIT","National Highways Infra Trust","Other business matters","To consider other business matters","13-Feb-2024"
"NORBTEAEXP","Norben Tea & Exports Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"NRBBEARING","NRB Bearing Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"NRL","Nupur Recyclers Limited","Bonus","To consider bonus","13-Feb-2024"
"NRL","Nupur Recyclers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"NSIL","Nalwa Sons Investments Limited","Financial Results","Board meeting intimation pursuant to Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.","13-Feb-2024"
"NUVAMA","Nuvama Wealth Management Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"OIL","Oil India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"ONGC","Oil & Natural Gas Corporation Limited","Financial Results/Dividend","The Board Meeting to be held on 13/02/2024 has been revised to 10/02/2024 inter-alia, to consider and approve Un-Audited Financial Results for the Quarter and Nine Months ended 31st December, 2023 and recommendation of 2nd Interim Dividend, if any for FY'24.","13-Feb-2024"
"ONGC","Oil & Natural Gas Corporation Limited","Financial Results/Dividend","Board Meeting Intimation for Consideration Of Un-Audited Financial Results For The Quarter And Nine Months Ended 31.12.2023 And Recommendation Of 2Nd Interim Dividend, If Any, For The FY 24.","13-Feb-2024"
"ORIENTCER","ORIENT CERATECH LIMITED","Financial Results","To consider and approve the financial results for the third quarter and nine months ended December 31, 2023","13-Feb-2024"
"ORTINLAB","Ortin Laboratories Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"PANACEABIO","Panacea Biotec Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"PFOCUS","Prime Focus Limited","Financial Results/Other business matters","A Meeting of the Board of Directors of the Company is scheduled to be held on Tuesday, February 13, 2024, inter-alia to:1. Consider, approve and take on record Un-audited Financial Results (Standalone & Consolidated) of the Company for the quarter and nine months ended December 31, 2023; and2. Consider and approve increase in Authorised Share Capital and consequent amendment to the capital clause of the memorandum of association, subject to such regulatory/ statutory approvals as may be required.","13-Feb-2024"
"PGEL","PG Electroplast Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"PIGL","Power & Instrumentation (Gujarat) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"PILANIINVS","Pilani Investment and Industries Corporation Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"PNC","Pritish Nandy Communications Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"POWERMECH","Power Mech Projects Limited","Financial Results","To consider and approve the financial results for third quarter and nine months ended December 31, 2023","13-Feb-2024"
"PPL","Prakash Pipes Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"PRAKASHSTL","Prakash Steelage Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"PRESTIGE","Prestige Estates Projects Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"PROZONER","Prozone Realty Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"PTCIL","PTC Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"QUINTEGRA","Quintegra Solutions Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"RADIANTCMS","Radiant Cash Management Services Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"RCF","Rashtriya Chemicals and Fertilizers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"RHIM","RHI MAGNESITA INDIA LIMITED","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"RNAVAL","Reliance Naval and Engineering Limited","Other business matters","Ameeting of the Board of Directors of the Company is scheduled to be held on Tuesday, February 13, 2024 inter alia to transact, to consider, approve and take on record Audited Financial Results (Standalone) of the Company for the quarter and year ended March 31, 2023.","13-Feb-2024"
"ROML","Raj Oil Mills Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SAKUMA","Sakuma Exports Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SBGLP","Suratwwala Business Group Limited","Other business matters","To consider the increase in the Authorised Share Capital & other allied business matters","13-Feb-2024"
"SEMAC","SEMAC CONSULTANTS LIMITED","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SENCO","Senco Gold Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SEPC","SEPC Limited","Financial Results","To consider and approve the un audited standalone and consolidated financial results for the quarter ended December 31, 2023","13-Feb-2024"
"SEQUENT","Sequent Scientific Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SHAILY","Shaily Engineering Plastics Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"SHANKARA","Shankara Building Products Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SHREEPUSHK","Shree Pushkar Chemicals & Fertilisers Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"SICALLOG","Sical Logistics Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SIEMENS","Siemens Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SIKKO","Sikko Industries Limited","Financial Results/Other business matters","To consider and approve the Unaudited Standalone financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"SIL","Standard Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SIMBHALS","Simbhaoli Sugars Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SIMPLEXINF","Simplex Infrastructures Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SINDHUTRAD","Sindhu Trade Links Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SPMLINFRA","SPML Infra Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SRHHYPOLTD","Sree Rayalaseema Hi-Strength Hypo Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SULA","Sula Vineyards Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","13-Feb-2024"
"SULA","Sula Vineyards Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and Interim Dividend for FY 2023-24","13-Feb-2024"
"SUNDARAM","Sundaram Multi Pap Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"SUPREMEENG","Supreme Engineering Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
