"SR. NO ","SYMBOL ","COMPANY NAME ","ISIN ","ASM STAGE "
"Long Term",,,,
134,"NETWEB","Netweb Technologies India Limited","INE0NT901020","LTASM - IV (16)"
135,"NEULANDLAB","Neuland Laboratories Limited","INE794A01010","LTASM - I (13)"
136,"NEWGEN","Newgen Software Technologies Limited","INE619B01017","LTASM - IV (16)"
137,"NGIL","Nakoda Group of Industries Limited","INE236Y01012","LTASM - I (13)"
138,"NILAINFRA","Nila Infrastructures Limited","INE937C01029","LTASM - I (13)"
139,"NINSYS","NINtec Systems Limited","INE395U01014","LTASM - I (13)"
140,"NIRAJ","Niraj Cement Structurals Limited","INE368I01016","LTASM - I (13)"
141,"NITIRAJ","Nitiraj Engineers Limited","INE439T01012","LTASM - I (13)"
142,"NRBBEARING","NRB Bearing Limited","INE349A01021","LTASM - I (13)"
143,"NUCLEUS","Nucleus Software Exports Limited","INE096B01018","LTASM - IV (16)"
144,"NURECA","Nureca Limited","INE0DSF01015","LTASM - I (13)"
145,"OBCL","Orissa Bengal Carrier Limited","INE426Z01016","LTASM - I (13)"
146,"ONDOOR","On Door Concepts Limited","INE00ER01015","LTASM - I (13)"
147,"ORIANA","Oriana Power Limited","INE0OUT01019","LTASM - I (13)"
148,"ORICONENT","Oricon Enterprises Limited","INE730A01022","LTASM - I (13)"
149,"ORIENTALTL","Oriental Trimex Limited","INE998H01012","LTASM - I (13)"
150,"PAKKA","PAKKA LIMITED","INE551D01018","LTASM - I (13)"
151,"PALREDTEC","Palred Technologies Limited","INE218G01033","LTASM - I (13)"
152,"PANSARI","Pansari Developers Limited","INE697V01011","LTASM - I (13)"
153,"PARACABLES","Paramount Communications Limited","INE074B01023","LTASM - I (13)"
154,"PCJEWELLER","PC Jeweller Limited","INE785M01013","LTASM - I (13)"
155,"PDSL","PDS Limited","INE111Q01021","LTASM - I (13)"
156,"PFS","PTC India Financial Services Limited","INE560K01014","LTASM - IV (16)"
157,"PGIL","Pearl Global Industries Limited","INE940H01022","LTASM - IV (16)"
158,"POCL","Pondy Oxides & Chemicals Limited","INE063E01046","LTASM - I (13)"
159,"PPL","Prakash Pipes Limited","INE050001010","LTASM - I (13)"
160,"PRAKASH","Prakash Industries Limited","INE603A01013","LTASM - II (14)"
161,"PRECAM","Precision Camshafts Limited","INE484I01029","LTASM - I (13)"
162,"PRECOT","Precot Limited","INE283A01014","LTASM - I (13)"
